iter	Passed	Remaining
146	346	2011
147	347	2002
148	349	1993
149	350	1987
150	352	1982
151	353	1974
152	355	1966
153	356	1959
154	358	1952
155	359	1946
156	361	1939
157	362	1931
158	363	1923
159	365	1916
160	366	1911
161	368	1904
162	369	1897
163	370	1890
164	372	1885
165	373	1878
166	375	1871
167	376	1866
168	378	1859
169	379	1852
170	380	1846
171	382	1839
172	383	1834
173	385	1828
174	386	1822
175	387	1816
176	389	1810
177	390	1804
178	392	1798
179	393	1793
180	394	1784
181	395	1778
182	397	1773
183	398	1769
184	400	1763
185	401	1758
186	403	1753
187	404	1747
188	405	1741
189	407	1735
190	408	1729
191	410	1725
192	411	1721
193	413	1716
194	414	1711
195	415	1706
196	417	1700
197	418	1695
198	419	1690
199	421	1684
200	422	1679
201	423	1675
202	425	1670
203	426	1665
204	428	1661
205	430	1658
206	431	1654
207	433	1650
208	434	1644
209	435	1639
210	437	1635
211	438	1631
212	440	1626
213	441	1622
214	443	1617
215	444	1613
216	445	1609
217	447	1605
218	448	1600
219	450	1596
220	451	1591
221	452	1586
222	454	1582
223	455	1578
224	457	1574
225	458	1569
226	459	1565
227	461	1561
228	462	1556
229	463	1552
230	464	1547
231	466	1544
232	467	1539
233	469	1536
234	470	1532
235	471	1527
236	473	1523
237	474	1518
238	475	1514
239	477	1510
240	478	1506
241	479	1502
242	480	1497
243	482	1493
244	483	1489
245	484	1485
246	485	1480
247	486	1476
248	488	1473
249	489	1469
250	490	1464
251	492	1460
252	493	1456
253	494	1452
254	495	1448
255	496	1444
256	498	1440
257	499	1436
258	500	1432
259	501	1428
260	503	1424
261	504	1420
262	505	1417
263	507	1413
264	508	1410
265	509	1406
266	511	1403
267	512	1399
268	513	1396
269	515	1392
270	516	1389
271	517	1385
272	518	1382
273	520	1378
274	521	1375
275	522	1371
276	524	1367
277	525	1363
278	526	1360
279	527	1356
280	528	1353
281	530	1349
282	531	1346
283	532	1343
284	534	1340
285	535	1337
286	536	1333
287	538	1330
288	539	1326
289	540	1323
290	541	1319
291	542	1316
292	544	1312
293	545	1310
294	546	1307
295	548	1304
296	549	1300
297	550	1297
298	552	1294
299	553	1290
300	554	1287
301	555	1284
302	556	1280
303	558	1277
304	559	1274
305	560	1272
306	562	1268
307	563	1265
308	564	1263
309	566	1260
310	567	1257
311	569	1255
312	570	1252
313	571	1248
314	573	1246
315	574	1243
316	575	1240
317	576	1237
318	578	1234
319	579	1231
320	580	1228
321	581	1225
322	583	1222
323	584	1218
324	585	1216
325	586	1213
326	588	1210
327	589	1207
328	590	1204
329	592	1201
330	593	1199
331	594	1196
332	595	1193
333	597	1190
334	598	1187
335	599	1185
336	600	1182
337	602	1180
338	603	1177
339	605	1175
340	606	1172
341	608	1170
342	609	1167
343	610	1164
344	612	1162
345	613	1159
346	615	1157
347	616	1155
348	617	1152
349	619	1150
350	620	1147
351	622	1145
352	623	1142
353	624	1140
354	626	1138
355	627	1135
356	629	1133
357	630	1131
358	632	1128
359	633	1126
360	634	1123
361	636	1121
362	637	1118
363	638	1115
364	639	1113
365	641	1110
366	642	1108
367	644	1106
368	645	1103
369	646	1101
370	648	1099
371	649	1096
372	651	1094
373	652	1091
374	653	1089
375	654	1086
376	656	1084
377	657	1081
378	658	1079
379	659	1076
380	661	1074
381	662	1071
382	663	1069
383	665	1067
384	666	1064
385	668	1063
386	669	1060
387	671	1058
388	672	1056
389	673	1053
390	674	1051
391	676	1048
392	677	1046
393	678	1044
394	680	1042
395	681	1039
396	683	1037
397	684	1035
398	685	1033
399	687	1030
400	688	1028
401	689	1026
402	691	1023
403	692	1021
404	693	1019
405	695	1017
406	696	1015
407	698	1012
408	699	1010
409	700	1008
410	702	1006
411	703	1004
412	704	1001
413	706	999
414	707	997
415	709	995
416	710	993
417	711	990
418	713	988
419	714	986
420	715	984
421	717	982
422	718	979
423	719	977
424	720	975
425	722	973
426	723	970
427	724	968
428	726	966
429	727	964
430	729	962
431	730	960
432	731	958
433	733	956
434	734	953
435	735	951
436	737	949
437	738	948
438	740	945
439	741	943
440	743	942
441	744	939
442	745	937
443	747	935
444	748	933
445	749	931
446	751	929
447	752	927
448	753	924
449	754	922
450	756	920
451	757	918
452	758	916
453	760	914
454	761	912
455	762	910
456	764	907
457	765	905
458	766	903
459	768	901
460	769	899
461	771	897
462	772	895
463	773	893
464	774	891
465	776	889
466	777	887
467	778	884
468	779	882
469	781	880
470	782	878
471	783	876
472	784	874
473	786	872
474	787	870
475	788	868
476	790	866
477	791	864
478	792	862
479	794	860
480	795	858
481	796	856
482	798	854
483	799	852
484	800	850
485	802	848
486	803	846
487	804	844
488	806	842
489	807	840
490	808	838
491	809	836
492	811	834
493	813	832
494	814	830
495	815	828
496	817	827
497	818	825
498	819	823
499	821	821
500	822	819
501	823	817
502	825	815
503	826	813
504	827	811
505	829	809
506	830	807
507	832	806
508	833	804
509	835	802
510	836	800
511	837	798
512	839	796
513	840	794
514	842	792
515	843	791
516	844	789
517	846	787
518	847	785
519	848	783
520	849	781
521	851	779
522	852	777
523	853	775
524	855	773
525	856	771
526	857	769
527	858	767
528	860	765
529	861	764
530	862	762
531	864	760
532	865	758
533	866	756
534	868	754
535	869	752
536	870	750
537	872	748
538	873	747
539	874	745
540	876	743
541	877	741
542	878	739
543	879	737
544	881	735
545	882	733
546	883	731
547	884	729
548	886	728
549	887	726
550	889	724
551	890	722
552	891	720
553	892	718
554	894	716
555	895	714
556	896	713
557	897	711
558	899	709
559	900	707
560	901	705
561	903	703
562	904	702
563	905	700
564	907	698
565	908	696
566	909	694
567	911	692
568	912	691
569	913	689
570	914	687
571	916	685
572	917	683
573	918	681
574	919	679
575	921	677
576	922	676
577	923	674
578	924	672
579	925	670
580	927	668
581	928	667
582	930	665
583	931	663
584	932	661
585	934	660
586	935	658
587	936	656
588	938	654
589	939	652
590	940	651
591	942	649
592	943	647
593	944	645
594	945	643
595	947	642
596	948	640
597	950	638
598	951	636
599	952	635
600	954	633
601	955	631
602	956	629
603	957	628
604	959	626
605	960	624
606	962	622
607	963	621
608	964	619
609	966	617
610	967	615
611	968	614
612	970	612
613	971	610
614	972	608
615	974	607
616	975	605
617	976	603
618	978	602
619	979	600
620	980	598
621	982	596
622	983	595
623	984	593
624	986	591
625	987	589
626	988	588
627	990	586
628	991	584
629	993	583
630	994	581
631	995	579
632	997	578
633	998	576
634	1000	574
635	1001	573
636	1003	571
637	1004	569
638	1005	568
639	1007	566
640	1008	565
641	1010	563
642	1011	561
643	1013	560
644	1014	558
645	1015	556
646	1017	555
647	1019	553
648	1020	551
649	1021	550
650	1023	548
651	1024	546
652	1026	545
653	1027	543
654	1028	541
655	1030	540
656	1032	538
657	1033	537
658	1034	535
659	1036	533
660	1037	532
661	1039	530
662	1040	528
663	1042	527
664	1043	525
665	1045	524
666	1046	522
667	1047	520
668	1049	519
669	1050	517
670	1052	515
671	1053	514
672	1055	512
673	1056	511
674	1058	509
675	1059	507
676	1061	506
677	1062	504
678	1064	503
679	1065	501
680	1067	500
681	1069	498
682	1070	496
683	1072	495
684	1073	493
685	1075	492
686	1076	490
687	1078	488
688	1079	487
689	1081	485
690	1082	484
691	1084	482
692	1085	480
693	1087	479
694	1088	477
695	1090	476
696	1091	474
697	1093	472
698	1094	471
699	1096	469
700	1097	468
701	1099	466
702	1101	465
703	1102	463
704	1104	462
705	1104	460
706	1106	458
707	1107	456
708	1109	455
709	1110	453
710	1112	452
711	1113	450
712	1114	448
713	1116	447
714	1117	445
715	1119	444
716	1121	442
717	1122	440
718	1124	439
719	1126	437
720	1127	436
721	1128	434
722	1130	433
723	1131	431
724	1132	429
725	1134	428
726	1135	426
727	1136	424
728	1138	423
729	1139	421
730	1140	419
731	1142	418
732	1143	416
733	1145	414
734	1146	413
735	1147	411
736	1148	410
737	1150	408
738	1151	406
739	1153	405
740	1154	403
741	1155	401
742	1157	400
743	1158	398
744	1160	397
745	1162	395
746	1163	394
747	1164	392
748	1166	390
749	1167	389
750	1169	387
751	1170	386
752	1172	384
753	1173	382
754	1174	381
755	1176	379
756	1177	378
757	1179	376
758	1181	375
759	1182	373
760	1184	371
761	1185	370
762	1186	368
763	1188	367
764	1189	365
765	1191	363
766	1192	362
767	1193	360
768	1194	358
769	1196	357
770	1197	355
771	1198	354
772	1200	352
773	1201	350
774	1202	349
775	1204	347
776	1205	346
777	1206	344
778	1208	342
779	1209	341
780	1211	339
781	1212	337
782	1213	336
783	1215	334
784	1216	333
785	1218	331
786	1219	330
787	1220	328
788	1222	326
789	1223	325
790	1225	323
791	1227	322
792	1228	320
793	1230	319
794	1231	317
795	1233	316
796	1234	314
797	1236	312
798	1237	311
799	1239	309
800	1240	308
801	1241	306
802	1243	305
803	1244	303
804	1246	301
805	1247	300
806	1248	298
807	1249	297
808	1251	295
809	1253	294
810	1254	292
811	1256	290
812	1258	289
813	1260	287
814	1261	286
815	1262	284
816	1264	283
817	1265	281
818	1266	279
819	1267	278
820	1269	276
821	1270	275
822	1271	273
823	1272	271
824	1274	270
825	1275	268
826	1277	267
827	1278	265
828	1279	263
829	1280	262
830	1282	260
831	1283	259
832	1284	257
833	1285	255
834	1287	254
835	1288	252
836	1290	251
837	1291	249
838	1292	248
839	1294	246
840	1295	244
841	1296	243
842	1298	241
843	1299	240
844	1300	238
845	1301	236
846	1303	235
847	1304	233
848	1306	232
849	1307	230
850	1309	229
851	1310	227
852	1312	226
853	1313	224
854	1314	222
855	1315	221
856	1317	219
857	1318	218
858	1320	216
859	1321	215
860	1322	213
861	1323	211
862	1325	210
863	1326	208
864	1327	207
865	1328	205
866	1330	204
867	1331	202
868	1332	200
869	1334	199
870	1335	197
871	1336	196
872	1338	194
873	1339	193
874	1340	191
875	1342	189
876	1343	188
877	1344	186
878	1345	185
879	1347	183
880	1348	182
881	1349	180
882	1351	179
883	1352	177
884	1353	175
885	1355	174
886	1356	172
887	1357	171
888	1359	169
889	1360	168
890	1361	166
891	1363	165
892	1364	163
893	1365	161
894	1367	160
895	1368	158
896	1370	157
897	1372	155
898	1373	154
899	1374	152
900	1376	151
901	1378	149
902	1379	148
903	1381	146
904	1382	145
905	1384	143
906	1385	142
907	1387	140
908	1388	138
909	1389	137
910	1391	135
911	1392	134
912	1394	132
913	1395	131
914	1396	129
915	1398	128
916	1399	126
917	1401	125
918	1402	123
919	1403	122
920	1405	120
921	1406	118
922	1408	117
923	1409	115
924	1410	114
925	1412	112
926	1413	111
927	1414	109
928	1416	108
929	1417	106
930	1418	105
931	1419	103
932	1421	102
933	1422	100
934	1423	98
935	1424	97
936	1426	95
937	1427	94
938	1428	92
939	1429	91
940	1431	89
941	1432	88
942	1433	86
943	1435	85
944	1436	83
945	1438	82
946	1439	80
947	1440	79
948	1442	77
949	1443	75
950	1444	74
951	1445	72
952	1447	71
953	1448	69
954	1449	68
955	1451	66
956	1452	65
957	1453	63
958	1454	62
959	1456	60
960	1457	59
961	1458	57
962	1460	56
963	1461	54
964	1462	53
965	1463	51
966	1465	50
967	1466	48
968	1467	46
969	1469	45
970	1470	43
971	1471	42
972	1472	40
973	1474	39
974	1475	37
975	1476	36
976	1477	34
977	1479	33
978	1480	31
979	1481	30
980	1483	28
981	1484	27
982	1485	25
983	1486	24
984	1488	22
985	1489	21
986	1490	19
987	1492	18
988	1493	16
989	1494	15
990	1495	13
991	1497	12
992	1498	10
993	1499	9
994	1501	7
995	1502	6
996	1503	4
997	1504	3
998	1506	1
999	1508	0
